Dataset,Node,Twins,Near_Twins
BCSPWR05,72,[],"[(246, 1), (247, 1), (248, 1)]"
BCSPWR05,74,[],"[(410, 1)]"
BCSPWR05,76,[],"[(166, 1)]"
BCSPWR05,78,[0],[]
BCSPWR05,80,[],"[(268, 1)]"
BCSPWR05,84,[],"[(279, 1)]"
BCSPWR05,95,[96],[]
BCSPWR05,96,[95],[]
BCSPWR05,100,[101],"[(263, 1)]"
BCSPWR05,101,[100],"[(263, 1)]"
BCSPWR05,102,[105],[]
BCSPWR05,103,[],"[(10, 1)]"
BCSPWR05,105,[102],[]
BCSPWR05,129,[],"[(370, 1)]"
BCSPWR05,133,[],"[(292, 1)]"
BCSPWR05,134,[],"[(294, 1)]"
BCSPWR05,135,[],"[(67, 1)]"
BCSPWR05,139,[],"[(268, 1)]"
BCSPWR05,141,[],"[(67, 1)]"
BCSPWR05,154,[155],[]
BCSPWR05,155,[154],[]
BCSPWR05,157,[158],[]
BCSPWR05,158,[157],[]
BCSPWR05,166,[],"[(76, 1), (345, 1)]"
BCSPWR05,175,[],"[(54, 1), (55, 1)]"
BCSPWR05,177,[],"[(178, 1), (246, 1), (247, 1), (248, 1)]"
BCSPWR05,178,[],"[(11, 1), (177, 1), (226, 1), (266, 1)]"
BCSPWR05,183,[],"[(41, 1)]"
BCSPWR05,196,[197],[]
BCSPWR05,197,[196],[]
BCSPWR05,208,[],"[(358, 1), (359, 1), (341, 1), (342, 1), (343, 1), (344, 1)]"
BCSPWR05,218,[],"[(315, 1)]"
BCSPWR05,224,[225],[]
BCSPWR05,225,[224],[]
BCSPWR05,226,[],"[(178, 1)]"
BCSPWR05,227,[],"[(312, 1)]"
BCSPWR05,236,"[237, 238]",[]
BCSPWR05,237,"[236, 238]",[]
BCSPWR05,238,"[236, 237]",[]
BCSPWR05,240,[440],"[(16, 1), (307, 1)]"
BCSPWR05,246,"[247, 248]","[(72, 1), (177, 1)]"
BCSPWR05,247,"[246, 248]","[(72, 1), (177, 1)]"
BCSPWR05,248,"[246, 247]","[(72, 1), (177, 1)]"
BCSPWR05,260,[],"[(326, 1)]"
BCSPWR05,263,[],"[(100, 1), (101, 1)]"
BCSPWR05,266,[],"[(178, 1)]"
BCSPWR05,268,[],"[(28, 1), (80, 1), (139, 1)]"
BCSPWR05,273,[],"[(275, 1)]"
BCSPWR05,274,[],"[(275, 1)]"
BCSPWR05,275,[],"[(273, 1), (274, 1), (276, 1)]"
BCSPWR05,276,[],"[(275, 1)]"
BCSPWR05,279,[],"[(84, 1)]"
BCSPWR05,289,[290],[]
BCSPWR05,290,[289],[]
BCSPWR05,292,[],"[(133, 1)]"
BCSPWR05,294,[],"[(134, 1)]"
BCSPWR05,298,[],"[(24, 1)]"
BCSPWR05,299,[],"[(13, 1)]"
BCSPWR05,302,[303],[]
BCSPWR05,303,[302],[]
BCSPWR05,307,[],"[(240, 1), (440, 1)]"
BCSPWR05,311,[320],[]
BCSPWR05,312,[],"[(227, 1)]"
BCSPWR05,315,[],"[(218, 1)]"
BCSPWR05,317,"[318, 319]","[(330, 1)]"
BCSPWR05,318,"[317, 319]","[(330, 1)]"
BCSPWR05,319,"[317, 318]","[(330, 1)]"
BCSPWR05,320,[311],[]
BCSPWR05,326,[],"[(260, 1)]"
BCSPWR05,330,[],"[(317, 1), (318, 1), (319, 1)]"
BCSPWR05,332,[],"[(39, 1)]"
BCSPWR05,334,[],"[(383, 1)]"
BCSPWR05,341,"[342, 343, 344]","[(208, 1)]"
BCSPWR05,342,"[341, 343, 344]","[(208, 1)]"
BCSPWR05,343,"[341, 342, 344]","[(208, 1)]"
BCSPWR05,344,"[341, 342, 343]","[(208, 1)]"
BCSPWR05,345,[],"[(166, 1)]"
BCSPWR05,354,[355],[]
BCSPWR05,355,[354],[]
BCSPWR05,358,[359],"[(208, 1), (362, 1)]"
BCSPWR05,359,[358],"[(208, 1), (362, 1)]"
BCSPWR05,362,[],"[(61, 1), (62, 1), (63, 1), (358, 1), (359, 1)]"
BCSPWR05,363,[],"[(24, 1), (423, 1)]"
BCSPWR05,364,[],"[(375, 1)]"
BCSPWR05,370,[],"[(129, 1)]"
BCSPWR05,372,[378],[]
BCSPWR05,375,[],"[(364, 1)]"
BCSPWR05,378,[372],[]
BCSPWR05,383,[],"[(334, 1)]"
BCSPWR05,408,[],"[(410, 1)]"
BCSPWR05,410,[],"[(74, 1), (408, 1)]"
BCSPWR05,420,[421],[]
BCSPWR05,421,[420],[]
BCSPWR05,423,[],"[(363, 1)]"
BCSPWR05,440,[240],"[(16, 1), (307, 1)]"
BCSPWR06,2,[5],[]
BCSPWR06,5,[2],[]
BCSPWR06,8,[],"[(11, 1)]"
BCSPWR06,10,[],"[(11, 1)]"
BCSPWR06,11,[],"[(8, 1), (10, 1), (27, 1)]"
BCSPWR06,17,[],"[(133, 1)]"
BCSPWR06,21,[],"[(91, 1)]"
BCSPWR06,26,[],"[(117, 1)]"
BCSPWR06,27,[],"[(11, 1)]"
BCSPWR06,35,[],"[(75, 1)]"
BCSPWR06,38,[39],"[(191, 1)]"
BCSPWR06,39,[38],"[(191, 1)]"
BCSPWR06,41,[],"[(133, 1)]"
BCSPWR06,43,[],"[(163, 1)]"
BCSPWR06,45,[48],"[(76, 1)]"
BCSPWR06,48,[45],"[(76, 1)]"
BCSPWR06,49,[],"[(163, 1)]"
BCSPWR06,51,[52],[]
BCSPWR06,52,[51],[]
BCSPWR06,55,"[56, 57, 63]","[(513, 1)]"
BCSPWR06,56,"[55, 57, 63]","[(513, 1)]"
BCSPWR06,57,"[55, 56, 63]","[(513, 1)]"
BCSPWR06,58,[],"[(1402, 1)]"
BCSPWR06,63,"[55, 56, 57]","[(513, 1)]"
BCSPWR06,64,[],"[(80, 1), (81, 1), (158, 1)]"
BCSPWR06,67,[],"[(94, 1)]"
BCSPWR06,74,[],"[(133, 1)]"
BCSPWR06,75,[],"[(35, 1)]"
BCSPWR06,76,[],"[(45, 1), (48, 1)]"
BCSPWR06,80,[81],"[(64, 1)]"
BCSPWR06,81,[80],"[(64, 1)]"
BCSPWR06,91,[],"[(21, 1)]"
BCSPWR06,94,[],"[(67, 1)]"
BCSPWR06,111,[112],[]
BCSPWR06,112,[111],[]
BCSPWR06,114,[115],[]
BCSPWR06,115,[114],[]
BCSPWR06,117,[],"[(26, 1)]"
BCSPWR06,121,[122],[]
BCSPWR06,122,[121],[]
BCSPWR06,133,[],"[(17, 1), (41, 1), (74, 1)]"
BCSPWR06,141,[],"[(142, 1)]"
BCSPWR06,142,[],"[(141, 1)]"
BCSPWR06,151,[152],[]
BCSPWR06,152,[151],[]
BCSPWR06,158,[],"[(64, 1)]"
BCSPWR06,160,[],"[(165, 1)]"
BCSPWR06,163,[],"[(43, 1), (49, 1), (166, 1), (171, 1)]"
BCSPWR06,165,[],"[(160, 1), (167, 1)]"
BCSPWR06,166,[],"[(163, 1)]"
BCSPWR06,167,[],"[(165, 1)]"
BCSPWR06,171,[],"[(163, 1)]"
BCSPWR06,175,[176],[]
BCSPWR06,176,[175],[]
BCSPWR06,190,[],"[(191, 1)]"
BCSPWR06,191,[],"[(38, 1), (39, 1), (190, 1)]"
BCSPWR06,204,[],"[(205, 1)]"
BCSPWR06,205,[],"[(204, 1), (206, 1)]"
BCSPWR06,206,[],"[(205, 1)]"
BCSPWR06,208,[],"[(218, 1)]"
BCSPWR06,210,[],"[(216, 1)]"
BCSPWR06,211,[],"[(286, 1)]"
BCSPWR06,216,[],"[(210, 1)]"
BCSPWR06,218,[],"[(208, 1)]"
BCSPWR06,223,[],"[(261, 1), (1429, 1)]"
BCSPWR06,225,[],"[(274, 1)]"
BCSPWR06,226,[236],[]
BCSPWR06,231,"[232, 233]",[]
BCSPWR06,232,"[231, 233]",[]
BCSPWR06,233,"[231, 232]",[]
BCSPWR06,236,[226],[]
BCSPWR06,237,[],"[(254, 1)]"
BCSPWR06,239,[],"[(254, 1)]"
BCSPWR06,250,[],"[(270, 1), (271, 1)]"
BCSPWR06,254,[],"[(237, 1), (239, 1)]"
BCSPWR06,261,[],"[(223, 1)]"
BCSPWR06,270,[],"[(250, 1)]"
BCSPWR06,271,[],"[(250, 1)]"
BCSPWR06,274,[],"[(225, 1)]"
BCSPWR06,283,[],"[(1440, 1)]"
BCSPWR06,286,[],"[(211, 1)]"
BCSPWR06,290,[],"[(327, 1), (1388, 1)]"
BCSPWR06,293,"[318, 323, 339]","[(338, 1)]"
BCSPWR06,294,[],"[(310, 1)]"
BCSPWR06,300,[],"[(302, 1), (303, 1)]"
BCSPWR06,302,[303],"[(300, 1)]"
BCSPWR06,303,[302],"[(300, 1)]"
BCSPWR06,309,[],"[(333, 1)]"
BCSPWR06,310,[],"[(294, 1), (330, 1)]"
BCSPWR06,312,[],"[(664, 1)]"
BCSPWR06,315,[],"[(316, 1)]"
BCSPWR06,316,[],"[(315, 1), (326, 1), (338, 1)]"
BCSPWR06,318,"[293, 323, 339]","[(338, 1)]"
BCSPWR06,323,"[293, 318, 339]","[(338, 1)]"
BCSPWR06,326,[],"[(316, 1)]"
BCSPWR06,327,[],"[(290, 1)]"
BCSPWR06,330,[],"[(310, 1)]"
BCSPWR06,333,[],"[(309, 1)]"
BCSPWR06,338,[],"[(293, 1), (316, 1), (318, 1), (323, 1), (339, 1)]"
BCSPWR06,339,"[293, 318, 323]","[(338, 1)]"
BCSPWR06,345,[],"[(374, 1)]"
BCSPWR06,367,[],"[(386, 1)]"
BCSPWR06,368,[],"[(378, 1)]"
BCSPWR06,370,[372],[]
BCSPWR06,372,[370],[]
BCSPWR06,374,[],"[(345, 1)]"
BCSPWR06,378,[],"[(368, 1)]"
BCSPWR06,384,[],"[(388, 1)]"
BCSPWR06,386,[],"[(367, 1)]"
BCSPWR06,388,[],"[(384, 1)]"
BCSPWR06,393,[394],[]
BCSPWR06,394,[393],[]
BCSPWR06,404,"[417, 438, 440, 442]","[(427, 1), (428, 1)]"
BCSPWR06,408,[422],[]
BCSPWR06,417,"[404, 438, 440, 442]","[(427, 1), (428, 1)]"
BCSPWR06,418,[419],[]
BCSPWR06,419,[418],[]
BCSPWR06,421,[],"[(1337, 1)]"
BCSPWR06,422,[408],[]
BCSPWR06,427,[],"[(404, 1), (417, 1), (442, 1), (438, 1), (440, 1)]"
BCSPWR06,428,[],"[(404, 1), (417, 1), (438, 1), (440, 1), (442, 1)]"
BCSPWR06,435,[],"[(436, 1)]"
BCSPWR06,436,[],"[(435, 1), (696, 1)]"
BCSPWR06,438,"[404, 417, 440, 442]","[(427, 1), (428, 1)]"
BCSPWR06,440,"[404, 417, 438, 442]","[(427, 1), (428, 1)]"
BCSPWR06,442,"[404, 417, 438, 440]","[(427, 1), (428, 1)]"
BCSPWR06,444,[],"[(607, 1)]"
BCSPWR06,452,[],"[(494, 1)]"
BCSPWR06,455,[],"[(456, 1)]"
BCSPWR06,456,[],"[(455, 1), (458, 1)]"
BCSPWR06,458,[],"[(456, 1)]"
BCSPWR06,469,[493],[]
BCSPWR06,483,[],"[(494, 1)]"
BCSPWR06,486,"[487, 488]",[]
BCSPWR06,487,"[486, 488]",[]
BCSPWR06,488,"[486, 487]",[]
BCSPWR06,493,[469],[]
BCSPWR06,494,[],"[(452, 1), (483, 1)]"
BCSPWR06,503,[572],[]
BCSPWR06,504,[],"[(570, 1)]"
BCSPWR06,506,[],"[(531, 1)]"
BCSPWR06,513,[],"[(55, 1), (56, 1), (57, 1), (63, 1)]"
BCSPWR06,524,[],"[(543, 1)]"
BCSPWR06,531,[],"[(506, 1), (532, 1), (533, 1)]"
BCSPWR06,532,[533],"[(531, 1)]"
BCSPWR06,533,[532],"[(531, 1)]"
BCSPWR06,536,[],"[(562, 1), (563, 1)]"
BCSPWR06,539,[540],[]
BCSPWR06,540,[539],[]
BCSPWR06,541,[542],[]
BCSPWR06,542,[541],[]
BCSPWR06,543,[],"[(524, 1)]"
BCSPWR06,552,[553],[]
BCSPWR06,553,[552],[]
BCSPWR06,562,[563],"[(536, 1)]"
BCSPWR06,563,[562],"[(536, 1)]"
BCSPWR06,565,[],"[(567, 1)]"
BCSPWR06,567,[],"[(565, 1)]"
BCSPWR06,570,[],"[(504, 1)]"
BCSPWR06,572,[503],[]
BCSPWR06,587,[589],[]
BCSPWR06,589,[587],[]
BCSPWR06,596,[],"[(644, 1), (645, 1), (646, 1)]"
BCSPWR06,598,[],"[(644, 1), (645, 1), (646, 1), (695, 1)]"
BCSPWR06,599,[],"[(737, 1)]"
BCSPWR06,601,[],"[(802, 1)]"
BCSPWR06,604,[],"[(640, 1), (793, 1)]"
BCSPWR06,607,[],"[(444, 1)]"
BCSPWR06,611,[],"[(782, 1), (792, 1)]"
BCSPWR06,612,[],"[(644, 1), (645, 1), (646, 1)]"
BCSPWR06,613,[],"[(753, 1)]"
BCSPWR06,617,[],"[(644, 1), (645, 1), (646, 1)]"
BCSPWR06,620,[621],[]
BCSPWR06,621,[620],[]
BCSPWR06,634,[],"[(833, 1), (767, 1)]"
BCSPWR06,637,[638],[]
BCSPWR06,638,[637],[]
BCSPWR06,640,[793],"[(604, 1)]"
BCSPWR06,644,"[645, 646]","[(596, 1), (598, 1), (612, 1), (617, 1), (682, 1)]"
BCSPWR06,645,"[644, 646]","[(596, 1), (598, 1), (612, 1), (617, 1), (682, 1)]"
BCSPWR06,646,"[644, 645]","[(596, 1), (598, 1), (612, 1), (617, 1), (682, 1)]"
BCSPWR06,650,[663],[]
BCSPWR06,653,[],"[(786, 1)]"
BCSPWR06,656,[],"[(831, 1)]"
BCSPWR06,663,[650],[]
BCSPWR06,664,[],"[(312, 1)]"
BCSPWR06,668,[],"[(737, 1)]"
BCSPWR06,682,[],"[(644, 1), (645, 1), (646, 1)]"
BCSPWR06,685,[],"[(737, 1)]"
BCSPWR06,692,[693],[]
BCSPWR06,693,[692],[]
BCSPWR06,695,[],"[(598, 1)]"
BCSPWR06,696,[],"[(436, 1)]"
BCSPWR06,726,[],"[(816, 1)]"
BCSPWR06,731,[],"[(782, 1), (792, 1)]"
BCSPWR06,737,[],"[(599, 1), (668, 1), (685, 1), (791, 1)]"
BCSPWR06,748,[],"[(799, 1)]"
BCSPWR06,753,[],"[(613, 1)]"
BCSPWR06,760,[790],"[(789, 1)]"
BCSPWR06,764,[],"[(822, 1)]"
BCSPWR06,767,[],"[(634, 1)]"
BCSPWR06,781,[],"[(823, 1)]"
BCSPWR06,782,[792],"[(611, 1), (731, 1)]"
BCSPWR06,786,[],"[(653, 1)]"
BCSPWR06,789,[],"[(760, 1), (790, 1)]"
BCSPWR06,790,[760],"[(789, 1)]"
BCSPWR06,791,[],"[(737, 1)]"
BCSPWR06,792,[782],"[(611, 1), (731, 1)]"
BCSPWR06,793,[640],"[(604, 1)]"
BCSPWR06,794,[],"[(805, 1)]"
BCSPWR06,799,[],"[(748, 1)]"
BCSPWR06,802,[],"[(601, 1), (807, 1)]"
BCSPWR06,805,[],"[(794, 1)]"
BCSPWR06,807,[],"[(802, 1)]"
BCSPWR06,816,[],"[(726, 1)]"
BCSPWR06,822,[],"[(764, 1)]"
BCSPWR06,823,[],"[(781, 1)]"
BCSPWR06,829,[830],[]
BCSPWR06,830,[829],[]
BCSPWR06,831,[],"[(656, 1)]"
BCSPWR06,833,[],"[(634, 1)]"
BCSPWR06,839,"[877, 923]",[]
BCSPWR06,841,[892],"[(906, 1)]"
BCSPWR06,847,[944],[]
BCSPWR06,854,[855],[]
BCSPWR06,855,[854],[]
BCSPWR06,858,[],"[(870, 1)]"
BCSPWR06,859,[],"[(952, 1)]"
BCSPWR06,861,[],"[(933, 1)]"
BCSPWR06,864,[889],[]
BCSPWR06,866,[967],"[(940, 1)]"
BCSPWR06,870,[],"[(858, 1), (913, 1)]"
BCSPWR06,872,[873],[]
BCSPWR06,873,[872],[]
BCSPWR06,877,"[839, 923]",[]
BCSPWR06,882,[],"[(955, 1), (956, 1), (957, 1), (958, 1)]"
BCSPWR06,889,[864],[]
BCSPWR06,892,[841],"[(906, 1)]"
BCSPWR06,895,[],"[(909, 1)]"
BCSPWR06,903,[946],[]
BCSPWR06,904,"[907, 987]",[]
BCSPWR06,906,[],"[(841, 1), (892, 1)]"
BCSPWR06,907,"[904, 987]",[]
BCSPWR06,909,[],"[(895, 1)]"
BCSPWR06,910,[988],[]
BCSPWR06,913,[],"[(870, 1)]"
BCSPWR06,920,[],"[(960, 1)]"
BCSPWR06,923,"[839, 877]",[]
BCSPWR06,928,[929],[]
BCSPWR06,929,[928],[]
BCSPWR06,932,[],"[(935, 1)]"
BCSPWR06,933,[],"[(861, 1), (935, 1)]"
BCSPWR06,935,[],"[(932, 1), (933, 1)]"
BCSPWR06,940,[],"[(866, 1), (967, 1)]"
BCSPWR06,944,[847],[]
BCSPWR06,945,[],"[(948, 1), (949, 1)]"
BCSPWR06,946,[903],[]
BCSPWR06,948,[949],"[(945, 1)]"
BCSPWR06,949,[948],"[(945, 1)]"
BCSPWR06,950,[],"[(955, 1), (956, 1), (957, 1), (958, 1)]"
BCSPWR06,952,[],"[(859, 1)]"
BCSPWR06,953,[],"[(995, 1)]"
BCSPWR06,955,"[956, 957, 958]","[(882, 1), (950, 1), (972, 1)]"
BCSPWR06,956,"[955, 957, 958]","[(882, 1), (950, 1), (972, 1)]"
BCSPWR06,957,"[955, 956, 958]","[(882, 1), (950, 1), (972, 1)]"
BCSPWR06,958,"[955, 956, 957]","[(882, 1), (950, 1), (972, 1)]"
BCSPWR06,960,[],"[(920, 1)]"
BCSPWR06,966,[],"[(994, 1), (976, 1)]"
BCSPWR06,967,[866],"[(940, 1)]"
BCSPWR06,972,[],"[(955, 1), (956, 1), (957, 1), (958, 1)]"
BCSPWR06,976,[994],"[(966, 1)]"
BCSPWR06,987,"[904, 907]",[]
BCSPWR06,988,[910],[]
BCSPWR06,994,[976],"[(966, 1)]"
BCSPWR06,995,[],"[(953, 1)]"
BCSPWR06,999,[],"[(1393, 1), (1394, 1), (1395, 1)]"
BCSPWR06,1001,[],"[(1005, 1)]"
BCSPWR06,1005,[],"[(1001, 1), (1257, 1)]"
BCSPWR06,1006,[1007],"[(1017, 1)]"
BCSPWR06,1007,[1006],"[(1017, 1)]"
BCSPWR06,1008,[],"[(1304, 1)]"
BCSPWR06,1014,[],"[(1347, 1)]"
BCSPWR06,1017,[],"[(1006, 1), (1007, 1)]"
BCSPWR06,1032,[],"[(1312, 1), (1043, 1)]"
BCSPWR06,1038,[],"[(1039, 1)]"
BCSPWR06,1039,[],"[(1038, 1), (1059, 1)]"
BCSPWR06,1043,[],"[(1032, 1)]"
BCSPWR06,1045,"[1048, 1049]",[]
BCSPWR06,1048,"[1045, 1049]",[]
BCSPWR06,1049,"[1045, 1048]",[]
BCSPWR06,1052,[],"[(1070, 1)]"
BCSPWR06,1053,[],"[(1070, 1)]"
BCSPWR06,1054,[],"[(1056, 1)]"
BCSPWR06,1056,[],"[(1054, 1)]"
BCSPWR06,1059,[],"[(1039, 1)]"
BCSPWR06,1070,[],"[(1052, 1), (1053, 1)]"
BCSPWR06,1080,[],"[(1084, 1)]"
BCSPWR06,1084,[],"[(1080, 1)]"
BCSPWR06,1089,[],"[(1093, 1), (1094, 1), (1107, 1)]"
BCSPWR06,1093,"[1094, 1107]","[(1089, 1), (1096, 1), (1098, 1), (1106, 1), (1109, 1)]"
BCSPWR06,1094,"[1093, 1107]","[(1089, 1), (1096, 1), (1098, 1), (1106, 1), (1109, 1)]"
BCSPWR06,1096,[1098],"[(1093, 1), (1094, 1), (1107, 1)]"
BCSPWR06,1098,[1096],"[(1093, 1), (1094, 1), (1107, 1)]"
BCSPWR06,1101,[1102],"[(1115, 1), (1116, 1), (1117, 1)]"
BCSPWR06,1102,[1101],"[(1115, 1), (1116, 1), (1117, 1)]"
BCSPWR06,1103,[],"[(1115, 1), (1116, 1), (1117, 1)]"
BCSPWR06,1106,[],"[(1093, 1), (1094, 1), (1107, 1)]"
BCSPWR06,1107,"[1093, 1094]","[(1089, 1), (1096, 1), (1098, 1), (1106, 1), (1109, 1)]"
BCSPWR06,1109,[],"[(1093, 1), (1094, 1), (1107, 1)]"
BCSPWR06,1111,[],"[(1231, 1)]"
BCSPWR06,1112,[],"[(1115, 1), (1116, 1), (1117, 1)]"
BCSPWR06,1115,"[1116, 1117]","[(1101, 1), (1102, 1), (1103, 1), (1112, 1)]"
BCSPWR06,1116,"[1115, 1117]","[(1101, 1), (1102, 1), (1103, 1), (1112, 1)]"
BCSPWR06,1117,"[1115, 1116]","[(1101, 1), (1102, 1), (1103, 1), (1112, 1)]"
BCSPWR06,1120,[],"[(1125, 1), (1126, 1), (1131, 1)]"
BCSPWR06,1125,[1126],"[(1120, 1), (1127, 1)]"
BCSPWR06,1126,[1125],"[(1120, 1), (1127, 1)]"
BCSPWR06,1127,[],"[(1125, 1), (1126, 1)]"
BCSPWR06,1131,[],"[(1120, 1)]"
BCSPWR06,1132,[1143],[]
BCSPWR06,1134,[],"[(1145, 1), (1146, 1), (1147, 1)]"
BCSPWR06,1137,[],"[(1150, 1)]"
BCSPWR06,1138,[],"[(1145, 1), (1146, 1), (1147, 1)]"
BCSPWR06,1140,[1141],[]
BCSPWR06,1141,[1140],[]
BCSPWR06,1143,[1132],[]
BCSPWR06,1145,"[1146, 1147]","[(1134, 1), (1138, 1)]"
BCSPWR06,1146,"[1145, 1147]","[(1134, 1), (1138, 1)]"
BCSPWR06,1147,"[1145, 1146]","[(1134, 1), (1138, 1)]"
BCSPWR06,1150,[],"[(1137, 1)]"
BCSPWR06,1162,[],"[(1221, 1), (1227, 1)]"
BCSPWR06,1179,[],"[(1218, 1)]"
BCSPWR06,1183,[],"[(1222, 1)]"
BCSPWR06,1189,[1190],[]
BCSPWR06,1190,[1189],[]
BCSPWR06,1212,[1213],[]
BCSPWR06,1213,[1212],[]
BCSPWR06,1218,[],"[(1179, 1)]"
BCSPWR06,1221,[],"[(1162, 1)]"
BCSPWR06,1222,[],"[(1183, 1)]"
BCSPWR06,1227,[],"[(1162, 1)]"
BCSPWR06,1231,[],"[(1111, 1)]"
